Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS5490RES200mN1619000E712200,0,CRS5490RES1000mN1619000E712000,0,CRS5490RES1000mN1619000E712000,1019334,51.5,5,3,12,5,910500.7,1577.9,1,18,0,6,5,7,1,0,0,1,3.5,3,1,6,14,12,3,8,0,8,19,97213
CRS5490RES200mN1619000E712400,0,CRS5490RES1000mN1619000E712000,0,CRS5490RES1000mN1619000E712000,1019338,80,12,2,19,2,1588844.4,2752.8,9,22,0,3,3,24,1,0,5,3,8,5,4,12,16,13,12,2,0,10,31,97213
CRS5490RES200mN1619000E712600,0,CRS5490RES1000mN1619000E712000,0,CRS5490RES1000mN1619000E712000,1019330,36,5,1,12,1,858624.9,1385,3,10,0,0,4,9,0,0,0,0,2,3,6,3,11,3,6,2,0,2,13,97213
CRS5490RES200mN1619000E712800,0,CRS5490RES1000mN1619000E712000,0,CRS5490RES1000mN1619000E712000,1019341,95,30,2,7,10,1995661,2575.3,44,8,0,1,0,37,14,0,7,2,4,6,9,36,19,10,1,1,0,5,52,97213
CRS5490RES200mN1619000E713000,0,CRS5490RES1000mN1619000E713000,0,CRS5490RES1000mN1619000E713000,1019321,30,6,0,7,5,642136.6,1510,8,7,0,0,3,12,0,0,1,0,1,1,2,5,7,4,4,2,3,6,15,97213
CRS5490RES200mN1619000E713200,0,CRS5490RES1000mN1619000E713000,0,CRS5490RES1000mN1619000E713000,1019325,43,5,0,10,7,1124953,1952.7,9,11,0,0,5,14,1,0,1,0,3,6,2,3,13,1,12,2,0,7,20,97213
CRS5490RES200mN1619000E713400,1,CRS5490RES1000mN1619000E713000,0,CRS5490RES1000mN1619000E713000,1019319,2,0.4,0.1,0.7,0.2,39669.1,97.2,0.1,0.8,0,0.1,0.2,0.6,0,0,0.1,0,0.1,0.1,0.1,0.2,0.5,0.4,0.3,0.2,0,0.3,0.9,97213
CRS5490RES200mN1619000E713600,1,CRS5490RES1000mN1619000E713000,0,CRS5490RES1000mN1619000E713000,1019319,8,1.7,0.3,3,0.7,158676.5,388.6,0.3,3.3,0.1,0.2,0.8,2.5,0,0,0.3,0.1,0.4,0.4,0.6,0.8,2.1,1.4,1.1,0.8,0,1.3,3.6,97213
CRS5490RES200mN1619000E713800,1,CRS5490RES1000mN1619000E713000,0,CRS5490RES1000mN1619000E713000,1019319,4.5,0.9,0.2,1.7,0.4,89255.5,218.6,0.2,1.8,0.1,0.1,0.4,1.4,0,0,0.2,0.1,0.3,0.2,0.3,0.4,1.2,0.8,0.6,0.4,0,0.7,2,97213
CRS5490RES200mN1619000E714000,1,CRS5490RES1000mN1619000E714000,0,CRS5490RES1000mN1619000E714000,1019388,7,1.4,0.3,2.2,0.4,141344.7,270.8,1,2.2,0.3,0.1,0.4,2.4,0,0,0.4,0.1,0.6,0.4,0.4,0.9,1.1,1.4,1.3,0.4,0,0.8,3.2,97213
CRS5490RES200mN1619000E714200,0,CRS5490RES1000mN1619000E714000,0,CRS5490RES1000mN1619000E714000,1019397,111.5,17,1,2,19,2579090.1,3435.8,49,2,0,1,3,45,2,0,8,6.5,10.5,11.5,6,37,25,6,1,0,0,2,51,97213
CRS5490RES200mN1619000E714400,0,CRS5490RES1000mN1619000E714000,0,CRS5490RES1000mN1619000E714000,1019390,30,6,1,10,0,450887.8,1085,6,7,0,2,0,11,0,0,1,0,3,4,0,3,7,6,4,2,0,6,13,97213
CRS5490RES200mN1619000E715400,1,CRS5490RES1000mN1619000E715000,0,CRS5490RES1000mN1619000E715000,1019379,26,2.5,0.8,7.6,1.1,717049.2,897.3,1.4,7.9,0,1.1,1.4,6.8,0,0,2,0.8,2,2,1.1,3.7,6.5,2.5,3.7,1.7,0,2,9.3,97213
CRS5490RES200mN1619000E715600,0,CRS5490RES1000mN1619000E715000,0,CRS5490RES1000mN1619000E715000,1019381,82.5,12,2,18,6,2455984.1,3226.6,14,22,0,0,2,21,13,0,3,0,9,11.5,6,19,18,8,7,1,0,1,36,97213
CRS5490RES200mN1619000E715800,1,CRS5490RES1000mN1619000E715000,0,CRS5490RES1000mN1619000E715000,1019379,16,1.6,0.5,4.7,0.7,441261,552.2,0.8,4.9,0,0.7,0.8,4.2,0,0,1.2,0.5,1.2,1.2,0.7,2.3,4,1.6,2.3,1,0,1.2,5.7,97213
CRS5490RES200mN1619000E716000,1,CRS5490RES1000mN1619000E716000,0,CRS5490RES1000mN1619000E716000,1019430,5,0.4,0.3,1.3,0.4,132327.5,177.6,0.1,1.6,0.2,0.2,0.2,1.1,0,0,0.1,0,0.3,0.5,0.6,0.3,1.5,0.7,0.6,0.4,0,0.2,1.7,97213
CRS5490RES200mN1619000E716200,0,CRS5490RES1000mN1619000E716000,0,CRS5490RES1000mN1619000E716000,1019442,99.5,29,1,16,8,2690616.5,3615.9,44,13,0,3,5,48,1,0,5,4.5,3,3,1,42,20,8,8,5,0,4,57,97213
